Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099722,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.094519,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087582,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089749,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.092351,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097987,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102756,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107093,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112729,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.123135,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124869,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121834,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118366,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119666,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.117065,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111862,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107093,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104925,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110561,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109694,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105792,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106226,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108393,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107526,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114029,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110561,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112729,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114029,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113596,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111862,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110994,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107526,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103624,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097987,46188800
1981-02-02,0.119420,0.119420,0.118862,0.118862,0.092351,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095820,19152000
1981-02-04,0.127790,0.128348,0.127790,0.127790,0.099288,27865600
1981-02-05,0.127790,0.128906,0.127790,0.127790,0.099288,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099722,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094519,16755200
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.094519,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091484,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090616,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088449,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090616,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094519,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.088882,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084113,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085414,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082379,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087582,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.088882,10841600
1981-02-27,0.118304,0.119420,0.118304,0.118304,0.091918,14761600
1981-03-02,0.118862,0.119420,0.118862,0.118862,0.092351,11760000
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.091051,16172800
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.090183,13708800
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089749,5376000
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.088882,11603200
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.081945,15321600
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.078043,28380800
1981-03-11,0.097656,0.097656,0.096540,0.096540,0.075008,29859200
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.078043,59248000
1981-03-13,0.099888,0.099888,0.099330,0.099330,0.077176,231302400
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080211,37228800
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084113,43747200
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.089316,36937600
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088449,37811200
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.089316,14604800
1981-03-23,0.119420,0.120536,0.119420,0.119420,0.092785,22019200
1981-03-24,0.119420,0.119420,0.118862,0.118862,0.092351,28156800
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.090616,7056000
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.088882,12275200
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.085847,12252800
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.085847,9900800
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.084980,15993600
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084113,34070400
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.091484,31404800
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.091918,16486400
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.090183,22803200
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.089316,10684800
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.093652,21952000
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095386,12499200
1981-04-10,0.124442,0.125000,0.124442,0.124442,0.096687,33465600
1981-04-13,0.124442,0.125000,0.124442,0.124442,0.096687,16060800
1981-04-14,0.124442,0.125000,0.124442,0.124442,0.096687,6652800
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.091918,34048000
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.086714,23878400
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.089316,35347200
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095386,28537600
1981-04-22,0.127232,0.127790,0.127232,0.127232,0.098854,18995200
1981-04-23,0.130580,0.131138,0.130580,0.130580,0.101456,58016000
1981-04-24,0.130580,0.130580,0.129464,0.129464,0.100589,35056000
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.099722,38528000
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.097987,32188800
1981-04-29,0.125000,0.125000,0.124442,0.124442,0.096687,13641600
1981-04-30,0.126674,0.127790,0.126674,0.126674,0.098421,12611200
1981-05-01,0.126674,0.127790,0.126674,0.126674,0.098421,16553600
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.097987,14448000
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.097554,17539200
1981-05-06,0.122768,0.122768,0.122210,0.122210,0.094953,18950400
1981-05-07,0.123884,0.124442,0.123884,0.123884,0.096253,9363200
1981-05-08,0.125000,0.125558,0.125000,0.125000,0.097120,7907200
1981-05-11,0.122768,0.122768,0.122210,0.122210,0.094953,11939200
1981-05-12,0.122210,0.123884,0.122210,0.122210,0.094953,4256000
1981-05-13,0.122210,0.123326,0.121652,0.121652,0.094519,4905600
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.093218,4928000
1981-05-15,0.122768,0.124442,0.122768,0.122768,0.095386,4905600
1981-05-18,0.125000,0.126116,0.125000,0.125000,0.097120,4166400
1981-05-19,0.123326,0.123326,0.122768,0.122768,0.095386,25424000
1981-05-20,0.126674,0.127790,0.126674,0.126674,0.098421,13283200
1981-05-21,0.133929,0.134487,0.133929,0.133929,0.104058,32211200
1981-05-22,0.140067,0.141183,0.140067,0.140067,0.108827,31427200
1981-05-26,0.140067,0.140067,0.139509,0.139509,0.108393,85344000
1981-05-27,0.147321,0.147879,0.147321,0.147321,0.114463,149497600
1981-05-28,0.147321,0.147879,0.147321,0.147321,0.114463,73987200
1981-05-29,0.147879,0.148438,0.147879,0.147879,0.114896,59382400
1981-06-01,0.147879,0.148438,0.147879,0.147879,0.114896,51251200
1981-06-02,0.141183,0.141183,0.140625,0.140625,0.109260,40432000
1981-06-03,0.140625,0.141741,0.140625,0.140625,0.109260,39446400
1981-06-04,0.143415,0.143973,0.143415,0.143415,0.111428,56067200
1981-06-05,0.141741,0.141741,0.141183,0.141183,0.109694,57680000
1981-06-08,0.136719,0.136719,0.136161,0.136161,0.105792,93497600
1981-06-09,0.138951,0.139509,0.138951,0.138951,0.107960,119593600
1981-06-10,0.140625,0.142299,0.140625,0.140625,0.109260,25222400
1981-06-11,0.146763,0.147321,0.146763,0.146763,0.114029,38976000
1981-06-12,0.145647,0.145647,0.145089,0.145089,0.112729,25804800
1981-06-15,0.145089,0.145089,0.144531,0.144531,0.112295,143763200
1981-06-16,0.142299,0.142299,0.141741,0.141741,0.110127,37251200
1981-06-17,0.140067,0.140067,0.139509,0.139509,0.108393,27574400
1981-06-18,0.139509,0.140067,0.138951,0.138951,0.107960,23049600
1981-06-19,0.135603,0.135603,0.135045,0.135045,0.104925,27507200
1981-06-22,0.130580,0.130580,0.130022,0.130022,0.101022,10841600
1981-06-23,0.132254,0.133371,0.132254,0.132254,0.102756,15030400
1981-06-24,0.130022,0.130022,0.128906,0.128906,0.100155,23027200
1981-06-25,0.131696,0.132254,0.131696,0.131696,0.102323,24259200
1981-06-26,0.131138,0.131138,0.130022,0.130022,0.101022,23788800
1981-06-29,0.126674,0.126674,0.125558,0.125558,0.097554,10595200
1981-06-30,0.116629,0.116629,0.116071,0.116071,0.090183,35907200
1981-07-01,0.115513,0.115513,0.114955,0.114955,0.089316,170464000
1981-07-02,0.114955,0.115513,0.114955,0.114955,0.089316,30284800
1981-07-06,0.112165,0.112165,0.111049,0.111049,0.086281,16531200
1981-07-07,0.112165,0.113281,0.112165,0.112165,0.087148,15836800
1981-07-08,0.116629,0.117188,0.116629,0.116629,0.090616,16620800
1981-07-09,0.108259,0.108259,0.107701,0.107701,0.083680,32883200
1981-07-10,0.099888,0.099888,0.099330,0.099330,0.077176,55171200
1981-07-13,0.101563,0.102121,0.101563,0.101563,0.078911,45740800
1981-07-14,0.106027,0.107143,0.106027,0.106027,0.082379,19779200
1981-07-15,0.108817,0.109375,0.108817,0.108817,0.084547,10953600
1981-07-16,0.111607,0.112723,0.111607,0.111607,0.086714,15232000
1981-07-17,0.115513,0.116071,0.115513,0.115513,0.089749,19824000
1981-07-20,0.108259,0.108259,0.107701,0.107701,0.083680,23654400
1981-07-21,0.107701,0.107701,0.107143,0.107143,0.083246,31942400
1981-07-22,0.102121,0.102121,0.101004,0.101004,0.078476,22668800
1981-07-23,0.103795,0.104353,0.103795,0.103795,0.080645,34451200
1981-07-24,0.107143,0.107701,0.107143,0.107143,0.083246,28851200
1981-07-27,0.111607,0.112165,0.111607,0.111607,0.086714,17337600
1981-07-28,0.108259,0.108259,0.107701,0.107701,0.083680,22848000
1981-07-29,0.106585,0.106585,0.106027,0.106027,0.082379,15500800
1981-07-30,0.109933,0.111049,0.109933,0.109933,0.085414,9900800
1981-07-31,0.111607,0.112165,0.111607,0.111607,0.086714,10953600
1981-08-03,0.111607,0.111607,0.110491,0.110491,0.085847,12432000
1981-08-04,0.112165,0.112723,0.112165,0.112165,0.087148,31673600
1981-08-05,0.115513,0.116071,0.115513,0.115513,0.089749,17494400
1981-08-06,0.113281,0.113281,0.112723,0.112723,0.087582,10528000
1981-08-07,0.112723,0.113281,0.112723,0.112723,0.087582,9206400
1981-08-10,0.112723,0.112723,0.112723,0.112723,0.087582,0
1981-08-11,0.110491,0.110491,0.109375,0.109375,0.084980,71456000
1981-08-12,0.107701,0.107701,0.107143,0.107143,0.083246,26275200
1981-08-13,0.104353,0.104353,0.103795,0.103795,0.080645,27484800
1981-08-14,0.103237,0.103237,0.102121,0.102121,0.079344,24192000
1981-08-17,0.099888,0.099888,0.098772,0.098772,0.076742,18905600
1981-08-18,0.097656,0.097656,0.096540,0.096540,0.075008,17001600
1981-08-19,0.096540,0.096540,0.095424,0.095424,0.074141,20675200
1981-08-20,0.096540,0.097098,0.096540,0.096540,0.075008,17113600
1981-08-21,0.090960,0.090960,0.089844,0.089844,0.069805,41910400
1981-08-24,0.084821,0.084821,0.084263,0.084263,0.065469,23072000
1981-08-25,0.086496,0.087054,0.086496,0.086496,0.067204,40700800
1981-08-26,0.085379,0.085379,0.084821,0.084821,0.065903,33600000
1981-08-27,0.085379,0.085938,0.085379,0.085379,0.066336,25916800
1981-08-28,0.089844,0.090402,0.089844,0.089844,0.069805,38035200
1981-08-31,0.089844,0.090402,0.089844,0.089844,0.069805,40947200
1981-09-01,0.095424,0.095982,0.095424,0.095424,0.074141,37027200
1981-09-02,0.097098,0.097656,0.097098,0.097098,0.075441,19376000
1981-09-03,0.093192,0.093192,0.092076,0.092076,0.071540,37475200
1981-09-04,0.091518,0.091518,0.090960,0.090960,0.070673,15254400
1981-09-08,0.088728,0.088728,0.088170,0.088170,0.068505,25446400
1981-09-09,0.088170,0.088728,0.088170,0.088170,0.068505,30531200
1981-09-10,0.088728,0.089286,0.088728,0.088728,0.068938,34809600
1981-09-11,0.088170,0.088170,0.087612,0.087612,0.068071,17539200
1981-09-14,0.085379,0.085379,0.084821,0.084821,0.065903,27686400
1981-09-15,0.083147,0.083147,0.082589,0.082589,0.064169,19510400
1981-09-16,0.081473,0.081473,0.080915,0.080915,0.062868,19353600
1981-09-17,0.079241,0.079241,0.078683,0.078683,0.061134,19376000
1981-09-18,0.079241,0.079799,0.079241,0.079241,0.061567,26320000
1981-09-21,0.079799,0.080357,0.079799,0.079799,0.062001,49033600
1981-09-22,0.075893,0.075893,0.075335,0.075335,0.058532,47420800
1981-09-23,0.074777,0.074777,0.073661,0.073661,0.057232,28201600
1981-09-24,0.073661,0.073661,0.073103,0.073103,0.056798,18300800
1981-09-25,0.064732,0.064732,0.063616,0.063616,0.049427,34608000
1981-09-28,0.064174,0.064732,0.064174,0.064174,0.049861,91728000
1981-09-29,0.067522,0.068080,0.067522,0.067522,0.052462,94684800
1981-09-30,0.068080,0.068638,0.068080,0.068080,0.052896,49996800
1981-10-01,0.068080,0.068638,0.068080,0.068080,0.052896,61129600
1981-10-02,0.073661,0.074219,0.073661,0.073661,0.057232,45046400
1981-10-05,0.075893,0.077009,0.075893,0.075893,0.058966,43097600
1981-10-06,0.075893,0.075893,0.075335,0.075335,0.058532,28358400
1981-10-07,0.079799,0.080915,0.079799,0.079799,0.062001,38841600
1981-10-08,0.082589,0.083147,0.082589,0.082589,0.064169,31091200
1981-10-09,0.083147,0.084263,0.083147,0.083147,0.064602,54521600
1981-10-12,0.085938,0.086496,0.085938,0.085938,0.066771,27350400
1981-10-13,0.085938,0.087054,0.085938,0.085938,0.066771,44195200
1981-10-14,0.081473,0.081473,0.080915,0.080915,0.062868,30979200
1981-10-15,0.082589,0.083147,0.082589,0.082589,0.064169,29433600
1981-10-16,0.082031,0.082031,0.081473,0.081473,0.063301,36467200
1981-10-19,0.083147,0.083705,0.083147,0.083147,0.064602,20585600
1981-10-20,0.087612,0.088170,0.087612,0.087612,0.068071,35728000
1981-10-21,0.087612,0.088170,0.087612,0.087612,0.068071,76899200
1981-10-22,0.087612,0.087612,0.087054,0.087054,0.067638,32278400
1981-10-23,0.085379,0.085379,0.084821,0.084821,0.065903,27910400
1981-10-26,0.084821,0.085379,0.084821,0.084821,0.065903,27283200
1981-10-27,0.086496,0.087612,0.086496,0.086496,0.067204,85590400
1981-10-28,0.089286,0.089844,0.089286,0.089286,0.069372,44172800
1981-10-29,0.088728,0.088728,0.088170,0.088170,0.068505,30486400
1981-10-30,0.089286,0.089844,0.089286,0.089286,0.069372,52729600
1981-11-02,0.089286,0.089844,0.089286,0.089286,0.069372,36915200
1981-11-03,0.088728,0.088728,0.088170,0.088170,0.068505,28380800
1981-11-04,0.086496,0.086496,0.085938,0.085938,0.066771,23811200
1981-11-05,0.080357,0.080357,0.079799,0.079799,0.062001,23363200
1981-11-06,0.080357,0.080915,0.080357,0.080357,0.062434,24595200
1981-11-09,0.081473,0.082031,0.081473,0.081473,0.063301,20384000
1981-11-10,0.082031,0.082589,0.082031,0.082031,0.063735,16755200
